消費品項,class
台鐵區間車票（基隆 → 台北）,行/台鐵
台鐵自強號車票（台中 → 高雄）,行/台鐵
台鐵月台票,行/台鐵
台鐵便當（鐵路餐飲）,行/台鐵
台鐵觀光列車（環島之星）,行/台鐵
台鐵復興號車票（花蓮 → 台東）,行/台鐵
台鐵觀光列車（仲夏寶島號）,行/台鐵
台鐵鐵道紀念品購買,行/台鐵
台鐵站內自動售票機購票,行/台鐵
台鐵車廂內零食購買,行/台鐵
台鐵行李托運服務,行/台鐵
台鐵車廂升等（商務座）,行/台鐵
台鐵團體票（學校包車）,行/台鐵
台鐵訂票手續費,行/台鐵
台鐵電子票券充值,行/台鐵
台鐵電子票卡購買,行/台鐵
台鐵通勤族定期票,行/台鐵
台鐵觀光列車（太魯閣號）,行/台鐵
台鐵郵輪式列車票,行/台鐵
台鐵車站手推車租借,行/台鐵
台鐵自行車攜帶票,行/台鐵
台鐵車站儲物櫃租借,行/台鐵
台鐵候車室飲料購買,行/台鐵
台鐵平日早鳥票,行/台鐵
台鐵兒童優惠票,行/台鐵
台鐵車站接駁車,行/台鐵
台鐵車內點心購買,行/台鐵
台鐵旅遊套票（車票 + 門票）,行/台鐵
台鐵行李托運服務,行/台鐵
台鐵團體旅遊票,行/台鐵
台鐵公司福利票,行/台鐵
台鐵學生票（校外教學）,行/台鐵
台鐵車站周邊旅遊導覽,行/台鐵
台鐵列車內便當預訂,行/台鐵
台鐵票務更改手續費,行/台鐵
台鐵臥鋪車廂票,行/台鐵
台鐵國際遊客通行卡,行/台鐵
台鐵車廂內咖啡購買,行/台鐵
台鐵會員積分兌換票,行/台鐵
台鐵家庭套票,行/台鐵
台鐵觀光列車特色便當,行/台鐵
台鐵長者優惠票,行/台鐵
台鐵站內自動售票機充值,行/台鐵
台鐵列車內Wi-Fi使用費,行/台鐵
台鐵特殊行程包車票,行/台鐵
台鐵站內便當預購服務,行/台鐵
台鐵自助售票機充值,行/台鐵
台鐵平日促銷票,行/台鐵
台鐵貓空觀光列車票,行/台鐵
台鐵手工月台票（限量版）,行/台鐵
台鐵特快車優惠票,行/台鐵
台鐵節日加班車票,行/台鐵
台鐵行李保險服務,行/台鐵
台鐵綠島號船車聯票,行/台鐵
台鐵列車內冷飲購買,行/台鐵
台鐵推車租借服務,行/台鐵
台鐵站內按摩椅使用費,行/台鐵
台鐵青年旅行卡,行/台鐵
台鐵車票優惠券兌換,行/台鐵
台鐵公司員工折扣票,行/台鐵
台鐵觀光列車車廂租賃,行/台鐵
台鐵列車內圖書借閱服務,行/台鐵
台鐵團體旅遊票申請費,行/台鐵
台鐵長程旅遊行李配送,行/台鐵
台鐵站內便利店消費,行/台鐵
Ubike 租借費用（30 分鐘內免費）,行/自行車
自行車輪胎更換,行/自行車
自行車打氣站費用,行/自行車
自行車燈具購買,行/自行車
自行車車架維修,行/自行車
自行車變速器更換,行/自行車
自行車車座升級,行/自行車
自行車剎車線維修,行/自行車
自行車行李架購買,行/自行車
自行車水壺架購買,行/自行車
自行車夜間反光條,行/自行車
自行車運動眼鏡購買,行/自行車
自行車專業手套,行/自行車
自行車防水車罩,行/自行車
自行車折疊鎖購買,行/自行車
自行車車鈴購買,行/自行車
自行車擋泥板安裝,行/自行車
自行車鏈條潤滑劑,行/自行車
自行車車燈更換,行/自行車
自行車水壺座安裝,行/自行車
自行車修理工具組,行/自行車
自行車專用頭盔,行/自行車
自行車運動手套,行/自行車
自行車專用踏板,行/自行車
自行車輪胎氣嘴,行/自行車
自行車手機支架購買,行/自行車
自行車碼表（速度計）,行/自行車
自行車變速器調整服務,行/自行車
自行車防水車包,行/自行車
自行車腳踏板更換,行/自行車
自行車鏈條清潔工具,行/自行車
自行車專用車架安裝,行/自行車
自行車兒童座椅購買,行/自行車
自行車防曬座墊,行/自行車
自行車專用鎖（密碼鎖）,行/自行車
自行車騎行眼鏡,行/自行車
自行車運動帽（頭巾）,行/自行車
自行車風鏡（擋風）,行/自行車
自行車反光條購買,行/自行車
自行車避震系統升級,行/自行車
自行車車座海綿墊,行/自行車
自行車專業維修工具,行/自行車
自行車打氣筒購買,行/自行車
自行車摺疊工具包,行/自行車
