text,class
'台鐵 區間 車票 基隆 台北',行/台鐵
'台鐵 自強 號車票 台中 高雄',行/台鐵
'台鐵 月台票',行/台鐵
'台鐵 便當 鐵路餐 飲',行/台鐵
'台鐵 觀光 列車 環島 之星',行/台鐵
'台鐵 復 興號 車票 花蓮 台東',行/台鐵
'台鐵 觀光 列車 仲夏 寶島號',行/台鐵
'台鐵 鐵道 紀念品 購買',行/台鐵
'台鐵 站 內 自動 售票 機購票',行/台鐵
'台鐵 車廂 內 零食 購買',行/台鐵
'台鐵 行李 托運 服務',行/台鐵
'台鐵 車廂升 等 商務座',行/台鐵
'台鐵 團體票 學校 包車',行/台鐵
'台鐵 訂票 手續費',行/台鐵
'台鐵 電子 票券 充值',行/台鐵
'台鐵 電子票 卡購 買',行/台鐵
'台鐵 通勤 族 定期 票',行/台鐵
'台鐵 觀光 列車 太魯閣號',行/台鐵
'台鐵 郵輪式 列車票',行/台鐵
'台鐵 車站 手推 車 租借',行/台鐵
'台鐵 自行車 攜帶票',行/台鐵
'台鐵 車站 儲物櫃 租借',行/台鐵
'台鐵 候車室 飲料 購買',行/台鐵
'台鐵 平日 早鳥票',行/台鐵
'台鐵 兒童 優惠票',行/台鐵
'台鐵 車站 接駁車',行/台鐵
'台鐵 車內點 心購 買',行/台鐵
'台鐵 旅遊 套票 車票 門票',行/台鐵
'台鐵 團體 旅遊票',行/台鐵
'台鐵 公司 福利 票',行/台鐵
'台鐵 學生票 校外 教學',行/台鐵
'台鐵 車站 周邊 旅遊導覽',行/台鐵
'台鐵 列車 內 便當 預訂',行/台鐵
'台鐵 票務 更改 手續費',行/台鐵
'台鐵 臥鋪 車廂票',行/台鐵
'台鐵 國際 遊客 通行 卡',行/台鐵
'台鐵 車廂 內 咖啡 購買',行/台鐵
'台鐵 會員積 分兌 換票',行/台鐵
'台鐵 家庭 套票',行/台鐵
'台鐵 觀光 列車 特色 便當',行/台鐵
'台鐵 長 者 優惠票',行/台鐵
'台鐵 站 內 自動 售票 機 充值',行/台鐵
'台鐵 列車 內 Wi Fi 使用 費',行/台鐵
'台鐵 特殊 行程 包車票',行/台鐵
'台鐵 站 內 便當 預購 服務',行/台鐵
'台鐵 自助 售票 機 充值',行/台鐵
'台鐵 平日 促銷票',行/台鐵
'台鐵 貓空 觀光列 車票',行/台鐵
'台鐵 手工 月台票 限量版',行/台鐵
'台鐵 特快 車優惠票',行/台鐵
'台鐵 節日 加班 車票',行/台鐵
'台鐵 行李 保險 服務',行/台鐵
'台鐵 綠島號 船車 聯票',行/台鐵
'台鐵 列車 內 冷 飲購 買',行/台鐵
'台鐵 推車 租借 服務',行/台鐵
'台鐵 站 內 按摩椅 使用 費',行/台鐵
'台鐵 青年 旅行 卡',行/台鐵
'台鐵 車票 優惠券 兌換',行/台鐵
'台鐵 公司 員工 折扣票',行/台鐵
'台鐵 觀光 列車 車廂 租賃',行/台鐵
'台鐵 列車 內 圖書 借閱 服務',行/台鐵
'台鐵 團體 旅遊票 申請費',行/台鐵
'台鐵 長 程旅遊 行李 配送',行/台鐵
'台鐵 站 內 便利店 消費',行/台鐵
'自行車 輪胎 更換',行/自行車
'自行車 打氣 站 費用',行/自行車
'自行車 燈 具購 買',行/自行車
'自行車 車架 維修',行/自行車
'自行車 變速器 更換',行/自行車
'自行車 車座 升級',行/自行車
'自行車 剎車線 維修',行/自行車
'自行車 行李架 購買',行/自行車
'自行車 水壺 架 購買',行/自行車
'自行車 夜間 反光 條',行/自行車
'自行車 運動 眼鏡 購買',行/自行車
'自行車 專業 手套',行/自行車
'自行車 防水 車罩',行/自行車
'自行車 折疊鎖 購買',行/自行車
'自行車 車鈴購 買',行/自行車
'自行車 擋 泥板 安裝',行/自行車
'自行車 鏈條潤 滑劑',行/自行車
'自行車 車燈 更換',行/自行車
'自行車 水壺 座安裝',行/自行車
'自行車 修理 工具 組',行/自行車
'自行車 專用 頭盔',行/自行車
'自行車 運動 手套',行/自行車
'自行車 專用 踏板',行/自行車
'自行車 輪胎 氣嘴',行/自行車
'自行車 手機 支架 購買',行/自行車
'自行車 碼表 速度 計',行/自行車
'自行車 變速器 調整 服務',行/自行車
